,days,len_day_data,neg_res,neut_tweet,pos_tweet
31,2018-06-15 05:30:00,288,17.36111111111111,36.80555555555556,45.833333333333336
32,2018-06-15 04:00:00,395,15.69620253164557,42.53164556962025,41.77215189873418
33,2018-06-06 17:15:00,49,22.448979591836736,28.571428571428573,48.97959183673469
34,2018-06-16 03:15:00,267,10.112359550561798,42.69662921348315,47.19101123595506
35,2018-06-05 03:00:00,55,16.363636363636363,40.0,43.63636363636363
36,2018-06-17 17:30:00,379,15.831134564643799,37.46701846965699,46.70184696569921
37,2018-06-10 00:15:00,44,15.909090909090908,31.818181818181817,52.27272727272727
38,2018-06-10 03:00:00,7,28.571428571428573,28.571428571428573,42.857142857142854
39,2018-06-15 20:45:00,366,11.475409836065573,37.431693989071036,51.09289617486339
40,2018-06-05 10:45:00,59,25.423728813559322,33.898305084745765,40.67796610169491
41,2018-06-06 19:30:00,55,12.727272727272727,56.36363636363637,30.90909090909091
42,2018-06-06 02:45:00,47,19.148936170212767,29.78723404255319,51.06382978723404
43,2018-06-06 13:45:00,44,13.636363636363637,43.18181818181818,43.18181818181818
44,2018-06-10 19:15:00,50,10.0,42.0,48.0
45,2018-06-18 05:00:00,324,8.333333333333334,50.617283950617285,41.04938271604938
46,2018-06-08 14:00:00,47,21.27659574468085,46.808510638297875,31.914893617021278
47,2018-06-14 17:15:00,57,17.54385964912281,42.10526315789474,40.35087719298246
48,2018-06-16 12:00:00,405,11.604938271604938,51.111111111111114,37.28395061728395
49,2018-06-06 16:00:00,50,6.0,62.0,32.0
50,2018-06-16 12:15:00,392,11.224489795918368,54.59183673469388,34.183673469387756
51,2018-06-18 22:15:00,425,15.529411764705882,51.76470588235294,32.705882352941174
52,2018-06-08 13:30:00,54,11.11111111111111,38.888888888888886,50.0
53,2018-06-17 10:30:00,288,6.25,35.763888888888886,57.986111111111114
54,2018-06-18 18:45:00,306,13.72549019607843,48.03921568627451,38.23529411764706
55,2018-06-19 08:45:00,333,12.912912912912914,51.351351351351354,35.73573573573574
56,2018-06-07 06:30:00,54,16.666666666666668,46.2962962962963,37.03703703703704
57,2018-06-08 18:00:00,27,18.51851851851852,44.44444444444444,37.03703703703704
58,2018-06-09 20:30:00,56,16.071428571428573,37.5,46.42857142857143
59,2018-06-05 07:45:00,45,15.555555555555555,48.888888888888886,35.55555555555556
60,2018-06-08 22:00:00,113,9.734513274336283,58.4070796460177,31.858407079646017
61,2018-06-06 23:15:00,42,16.666666666666668,50.0,33.333333333333336
62,2018-06-08 15:00:00,67,17.91044776119403,37.3134328358209,44.776119402985074
63,2018-06-12 20:00:00,102,7.8431372549019605,48.03921568627451,44.11764705882353
64,2018-06-07 10:15:00,50,12.0,38.0,50.0
65,2018-06-05 08:15:00,57,7.017543859649122,52.63157894736842,40.35087719298246
66,2018-06-06 11:00:00,62,4.838709677419355,46.774193548387096,48.38709677419355
67,2018-06-15 04:45:00,378,16.93121693121693,40.476190476190474,42.592592592592595
68,2018-06-18 12:30:00,471,12.951167728237792,60.72186836518047,26.326963906581742
69,2018-06-17 22:00:00,384,10.416666666666666,46.09375,43.489583333333336
70,2018-06-04 15:30:00,56,10.714285714285714,51.785714285714285,37.5
